2023.11.10 12:52:01 INFO  ce[][o.s.p.ProcessEntryPoint] Starting ce
2023.11.10 12:52:02 INFO  ce[][o.s.ce.app.CeServer] Compute Engine starting up...
2023.11.10 12:52:02 INFO  ce[][o.e.p.PluginsService] no modules loaded
2023.11.10 12:52:02 INFO  ce[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.join.ParentJoinPlugin]
2023.11.10 12:52:02 INFO  ce[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.percolator.PercolatorPlugin]
2023.11.10 12:52:02 INFO  ce[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.transport.Netty4Plugin]
2023.11.10 12:52:04 INFO  ce[][o.s.s.e.EsClientProvider] Connected to local Elasticsearch: [127.0.0.1:9001]
2023.11.10 12:52:04 INFO  ce[][o.sonar.db.Database] Create JDBC data source for jdbc:postgresql://db-postgresql/sonarqube
2023.11.10 12:52:05 INFO  ce[][o.s.s.p.ServerFileSystemImpl] SonarQube home: /opt/sonarqube
2023.11.10 12:52:05 INFO  ce[][o.s.c.c.CePluginRepository] Load plugins
2023.11.10 12:52:06 INFO  ce[][o.s.c.c.ComputeEngineContainerImpl] Running Community edition
2023.11.10 12:52:06 INFO  ce[][o.s.ce.app.CeServer] Compute Engine is operational
2023.11.10 12:57:34 INFO  ce[][o.s.c.t.CeWorkerImpl] Execute task | project=VGF | type=REPORT | id=AYu5TyIloHkafef8rVWw
2023.11.10 12:57:36 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Extract report | status=SUCCESS | time=1149ms
2023.11.10 12:57:36 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Persist scanner context | status=SUCCESS | time=13ms
2023.11.10 12:57:36 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Propagate analysis warnings from scanner report | status=SUCCESS | time=26ms
2023.11.10 12:57:36 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Execute DB migrations for current project | status=SUCCESS | time=9ms
2023.11.10 12:57:36 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Generate analysis UUID | status=SUCCESS | time=0ms
2023.11.10 12:57:36 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Load analysis metadata | status=SUCCESS | time=79ms
2023.11.10 12:57:36 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Initialize | status=SUCCESS | time=0ms
2023.11.10 12:57:36 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Verify billing | status=SUCCESS | time=0ms
2023.11.10 12:57:36 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Build tree of components | components=3405 | status=SUCCESS | time=252ms
2023.11.10 12:57:36 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Validate project | status=SUCCESS | time=5ms
2023.11.10 12:57:37 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Load quality profiles | status=SUCCESS | time=162ms
2023.11.10 12:57:37 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Load Quality gate | status=SUCCESS | time=11ms
2023.11.10 12:57:37 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Load new code period | status=SUCCESS | time=14ms
2023.11.10 12:57:37 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Detect file moves | reportFiles=2803 | dbFiles=2870 | addedFiles=0 | status=SUCCESS | time=38ms
2023.11.10 12:57:37 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Load duplications | duplications=7355 | status=SUCCESS | time=317ms
